Ticker;Ind. Id;Indicadores;Atual;2022;2021;2020;2019;2018;2017;2016;2015;2014
ABCB4;18;PASSIVOS/ATIVOS;0,9;0,92;0,91;0,83;0,88;0,88;0,87;0,88;0,89;0,88
ABCB4;19;LIQ. CORRENTE;3,81;0,14;0,31;0,26;0,01;-;-;-;-;-
ABCB4;20;M.BRUTA;25,85%;30,16%;32,67%;28,25%;31,66%;34,85%;23,04%;18,21%;41,47%;14,10%
ABCB4;21;M.EBITDA;-%;-%;-%;-%;20,57%;-%;-%;-%;-%;-%
ABCB4;22;M.EBIT;20,99%;17,69%;20,82%;-8,25%;19,56%;13,09%;20,98%;28,82%;9,73%;21,52%
ABCB4;23;M.LIQ;15,79%;15,54%;19,82%;14,34%;22,13%;17,41%;19,82%;19,48%;17,34%;19,09%
ABCB4;24;ROE;13,81%;15,09%;11,94%;7,87%;12,23%;11,14%;12,57%;13,08%;14,75%;14,37%
ABCB4;25;ROA;1,41%;1,39%;1,14%;0,79%;1,52%;1,38%;1,57%;1,54%;1,64%;1,67%
ABCB4;26;ROIC;-%;-%;-%;-%;-%;-%;-%;-%;-%;-%
ABCB4;27;GIRO ATIVOS;0,09;0,09;0,06;0,05;0,07;0,08;0,08;0,08;0,09;0,09
ABCB4;28;CAGR REC. 5;18,70%;18,70%;7,15%;1,17%;5,50%;7,29%;7,97%;8,93%;15,48%;7,48%
ABCB4;29;CAGR LUCRO 5;13,07%;13,06%;7,52%;-2,60%;8,66%;9,43%;12,15%;10,70%;13,75%;16,72%
ABEV3;0;D.Y;5,65%;5,25%;4,41%;2,64%;2,63%;3,58%;2,54%;3,90%;4,01%;4,67%
ABEV3;1;P/L;14,1;15,82;19,16;21,64;24,93;21,99;46,01;20,54;22,58;21,24
ABEV3;2;PEG RATIO;0,93;1,12;-;-;-;0,43;-1,09;20,78;7,61;-
ABEV3;3;P/VP;2,36;2,79;2,94;3,34;4,79;4,3;7,27;5,75;5,8;6,07
ABEV3;4;EV/EBITDA;7,9;9,19;10,17;11,01;13,74;10,78;15,87;12,37;12,37;13,62
ABEV3;5;EV/EBIT;10,67;12,29;13,4;14,58;17,74;13,57;19,74;14,91;14,39;15,68
ABEV3;6;P/EBITDA;8,45;9,68;10,86;11,67;14,17;11,19;16,25;12,51;12,84;14,05
ABEV3;7;P/EBIT;11,42;12,95;14,31;15,46;18,29;14,1;20,21;15,07;14,94;16,17
ABEV3;8;VPA;5,73;5,2;5,25;4,69;3,9;3,58;2,93;2,85;3,08;2,69
ABEV3;9;P/ATIVO;1,54;1,66;1,75;1,97;2,89;2,53;3,85;3,07;3,11;3,55
ABEV3;10;LPA;0,96;0,92;0,8;0,72;0,75;0,7;0,46;0,8;0,79;0,77
ABEV3;11;P/SR;2,58;2,87;3,33;4,22;5,58;4,81;6,98;5,65;6,01;6,73
ABEV3;12;P/CAP. GIRO;57,37;-83,96;-1.014,69;132,06;112,5;2.004,30;-84,24;-52,75;-153,53;-233,7
ABEV3;13;P/ATIVO CIR. LIQ;-2,12;-2,28;-2,43;-2,74;-3,96;-3,44;-5,38;-4,3;-4,54;-4,98
ABEV3;14;DÍV. LIQ/PL;-0,15;-0,14;-0,19;-0,19;-0,14;-0,16;-0,17;-0,06;-0,21;-0,19
ABEV3;15;DIV. LIQ/EBITDA;-0,55;-0,49;-0,69;-0,66;-0,43;-0,42;-0,38;-0,13;-0,47;-0,43
ABEV3;16;DIV. LIQ/EBIT;-0,75;-0,66;-0,91;-0,88;-0,55;-0,53;-0,47;-0,16;-0,54;-0,49
ABEV3;17;PL/ATIVOS;0,65;0,59;0,6;0,59;0,6;0,6;0,53;0,53;0,54;0,59
ABEV3;18;PASSIVOS/ATIVOS;0,34;0,4;0,39;0,4;0,39;0,39;0,45;0,44;0,44;0,4
ABEV3;19;LIQ. CORRENTE;1,11;0,93;0,99;1,06;1,1;1,02;0,86;0,83;0,94;0,95
ABEV3;20;M.BRUTA;50,30%;49,29%;51,05%;53,64%;58,79%;61,68%;62,36%;63,43%;65,62%;66,35%
ABEV3;21;M.EBITDA;30,52%;29,63%;30,69%;36,14%;39,41%;43,00%;42,98%;45,20%;46,78%;47,89%
ABEV3;22;M.EBIT;22,59%;22,15%;23,29%;27,29%;30,52%;34,15%;34,55%;37,50%;40,20%;41,61%
ABEV3;23;M.LIQ;18,29%;18,14%;17,39%;19,49%;22,40%;21,89%;15,18%;27,51%;26,59%;31,68%
ABEV3;24;ROE;16,71%;17,64%;15,33%;15,42%;19,22%;19,52%;15,80%;27,99%;25,71%;28,58%
ABEV3;25;ROA;10,94%;10,48%;9,14%;9,09%;11,58%;11,68%;8,37%;14,96%;13,78%;16,72%
ABEV3;26;ROIC;18,63%;19,52%;18,74%;17,72%;23,31%;25,64%;22,76%;32,25%;28,09%;29,91%
ABEV3;27;GIRO ATIVOS;0,6;0,58;0,53;0,47;0,52;0,53;0,55;0,54;0,52;0,53
ABEV3;28;CAGR REC. 5;10,72%;10,72%;9,82%;4,56%;6,67%;7,44%;8,25%;-%;-%;-%
ABEV3;29;CAGR LUCRO 5;15,72%;14,74%;0,20%;-1,74%;-0,48%;2,84%;2,81%;217,86%;249,09%;-%
ADHM3;0;D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%;-%
ADHM3;1;P/L;-4,09;-4,09;-4,09;-4,09;0,37;-2,3;-2,85;-;-;-
ADHM3;2;PEG RATIO;-0,58;-0,58;-0,58;-0,58;-;0,26;-0,01;-;-;-
ADHM3;3;P/VP;-1,29;-1,29;-1,29;-1,29;-;-0,78;-1,65;-;-;-
ADHM3;4;EV/EBITDA;-;-;-;-;-;-;-;-;-;-
ADHM3;5;EV/EBIT;-5,69;-5,69;-5,69;-5,69;0,41;-4,17;-3,19;-;-;-
ADHM3;6;P/EBITDA;-;-;-;-;-;-;-;-;-;-
ADHM3;7;P/EBIT;-5,69;-5,69;-5,69;-5,69;0,31;-4,17;-3,22;-;-;-
ADHM3;8;VPA;-1,21;-1,21;-1,21;-1,21;-2,62;-1,93;-1,23;0;-0,44;-0,26
ADHM3;9;P/ATIVO;105,12;105,12;105,12;105,12;81,88;26,95;6,4;-;-;-
ADHM3;10;LPA;-0,38;-0,38;-0,38;-0,38;7,03;-0,65;-0,72;-0,02;-0,18;-0,14
ADHM3;11;P/SR;770,9;770,9;770,9;770,9;0,25;2.268,78;857,09;-;-;-
ADHM3;12;P/CAP. GIRO;-1,43;-1,43;-1,43;-1,43;-;-0,8;-2,04;-;-;-
ADHM3;13;P/ATIVO CIR. LIQ;-116,16;-116,16;-116,16;-116,16;-;-37,56;-7,52;-;-;-
ADHM3;14;DÍV. LIQ/PL;-;-;-;-;-;-;-;-;-;-
ADHM3;15;DIV. LIQ/EBITDA;-;-;-;-;-;-;-;-;-;-
ADHM3;16;DIV. LIQ/EBIT;0;0;0;0;0;0;0,03;0;0,02;0,01
ADHM3;17;PL/ATIVOS;-81,72;-81,72;-81,72;-81,72;-81,72;-34,64;-3,87;-1,54;-5,33;-11,27
ADHM3;18;PASSIVOS/ATIVOS;82,72;82,72;82,72;82,72;82,72;35,64;4,87;2,54;6,33;12,27
ADHM3;19;LIQ. CORRENTE;0;0;0;0;0;0,01;0,05;0,29;0,02;0,04
ADHM3;20;M.BRUTA;100,00%;100,00%;100,00%;100,00%;90,97%;100,00%;100,00%;-%;-%;-%
ADHM3;21;M.EBITDA;-%;-%;-%;-%;-%;-%;-%;-%;-%;-%
ADHM3;22;M.EBIT;-13548,48%;-13548,48%;-13548,48%;-13548,48%;80,87%;-54380,00%;-26594,44%;-%;-%;-%
ADHM3;23;M.LIQ;-18860,61%;-18860,61%;-18860,61%;-18860,61%;66,62%;-98820,00%;-30061,11%;-%;-%;-%
ADHM3;24;ROE;-31,47%;-31,47%;-31,47%;-31,47%;-%;-33,88%;-58,01%;-42,93%;-41,59%;-54,47%
ADHM3;25;ROA;-2571,90%;-2571,90%;-2571,90%;-2571,90%;219,54%;-1173,63%;-224,62%;-66,05%;-221,51%;-613,71%
ADHM3;26;ROIC;22,61%;22,61%;22,61%;22,61%;-%;18,64%;51,32%;263,82%;15,60%;38,56%
ADHM3;27;GIRO ATIVOS;0,14;0,14;0,14;0,14;329,52;0,01;0,01;0;0;0
ADHM3;28;CAGR REC. 5;-%;-%;-%;-%;-%;-%;-%;-%;-%;-%
ADHM3;29;CAGR LUCRO 5;-%;-%;-%;-%;-%;-%;-%;-%;-%;-%
AERI3;0;D.Y;-%;1,83%;-%;-%;-%;-%;;;;
AERI3;1;P/L;-5,81;-9,34;72,53;67,69;-;-;;;;
AERI3;2;PEG RATIO;-0,03;0,04;-;-;-;-;;;;
AERI3;3;P/VP;0,78;0,98;5,02;7,93;-;-;;;;
AERI3;4;EV/EBITDA;4,81;6,07;23,18;35,45;-;-;;;;
AERI3;5;EV/EBIT;5,69;7,59;26,86;39,52;-;-;;;;
AERI3;6;P/EBITDA;1,84;3,25;20,83;33,45;-;-;;;;
AERI3;7;P/EBIT;2,18;4,06;24,14;37,29;-;-;;;;
AERI3;8;VPA;1,06;1,15;1,3;1,26;-;-;;;;
AERI3;9;P/ATIVO;0,17;0,23;1,63;3,23;-;-;;;;
AERI3;10;LPA;-0,14;-0,12;0,09;0,15;-;-;;;;
AERI3;11;P/SR;0,2;0,35;2,02;3,47;-;-;;;;
AERI3;12;P/CAP. GIRO;0,78;0,68;3,93;10,56;-;-;;;;
AERI3;13;P/ATIVO CIR. LIQ;-0,51;-0,74;-4,55;-10,9;-;-;;;;
AERI3;14;DÍV. LIQ/PL;1,26;0,85;0,57;0,47;1,78;1,83;;;;
AERI3;15;DIV. LIQ/EBITDA;2,97;2,83;2,35;2;2,1;1,37;;;;
AERI3;16;DIV. LIQ/EBIT;3,51;3,54;2,72;2,23;2,3;1,48;;;;
AERI3;17;PL/ATIVOS;0,21;0,23;0,32;0,41;0,22;0,25;;;;
AERI3;18;PASSIVOS/ATIVOS;0,79;0,77;0,58;0,59;0,78;0,75;;;;
AERI3;19;LIQ. CORRENTE;1,46;1,95;3,99;1,77;1,19;2,21;;;;
AERI3;20;M.BRUTA;12,62%;11,93%;11,54%;11,13%;17,76%;25,02%;;;;
AERI3;21;M.EBITDA;10,68%;10,81%;9,69%;10,37%;17,77%;26,79%;;;;
AERI3;22;M.EBIT;9,03%;8,65%;8,36%;9,30%;16,23%;24,90%;;;;
AERI3;23;M.LIQ;-3,39%;-3,76%;2,78%;5,13%;10,64%;18,02%;;;;
AERI3;24;ROE;-13,42%;-10,48%;6,92%;11,72%;50,94%;89,84%;;;;
AERI3;25;ROA;-2,86%;-2,46%;2,24%;4,78%;11,06%;22,12%;;;;
AERI3;26;ROIC;10,53%;7,31%;8,06%;9,41%;21,87%;33,19%;;;;
AERI3;27;GIRO ATIVOS;0,84;0,65;0,81;0,93;1,04;1,23;;;;
AERI3;28;CAGR REC. 5;-%;-%;-%;-%;-%;-%;;;;
AERI3;29;CAGR LUCRO 5;-%;-%;-%;-%;-%;-%;;;;
AESB3;0;D.Y;-%;1,11%;2,09%;;;;;;;
AESB3;1;P/L;38,91;38,84;14,55;;;;;;;
AESB3;2;PEG RATIO;-0,57;-0,65;-;;;;;;;
AESB3;3;P/VP;1,37;1,32;1,35;;;;;;;
AESB3;4;EV/EBITDA;-;-;-;;;;;;;
AESB3;5;EV/EBIT;16,57;18,52;24.348,09;;;;;;;
AESB3;6;P/EBITDA;-;-;-;;;;;;;
AESB3;7;P/EBIT;6,63;8,33;29,41;;;;;;;
AESB3;8;VPA;7,43;7,3;8,2;;;;;;;
AESB3;9;P/ATIVO;0,31;0,31;0,46;;;;;;;
AESB3;10;LPA;0,26;0,25;0,76;;;;;;;
AESB3;11;P/SR;1,91;2,04;2,79;;;;;;;
AESB3;12;P/CAP. GIRO;18,8;1,98;10,35;;;;;;;
AESB3;13;P/ATIVO CIR. LIQ;-0,37;-0,41;-0,57;;;;;;;
AESB3;14;DÍV. LIQ/PL;2,06;1,62;1,4;;;;;;;
AESB3;15;DIV. LIQ/EBITDA;-;-;-;;;;;;;
AESB3;16;DIV. LIQ/EBIT;9,96;10,19;24.318,68;;;;;;;
AESB3;17;PL/ATIVOS;0,23;0,23;272,08;;;;;;;
AESB3;18;PASSIVOS/ATIVOS;0,72;0,71;659,44;;;;;;;
AESB3;19;LIQ. CORRENTE;1,11;2,6;1,29;;;;;;;
AESB3;20;M.BRUTA;35,54%;31,84%;14,31%;;;;;;;
AESB3;21;M.EBITDA;-%;-%;-%;;;;;;;
AESB3;22;M.EBIT;28,78%;24,53%;9,47%;;;;;;;
AESB3;23;M.LIQ;4,90%;5,26%;19,14%;;;;;;;
AESB3;24;ROE;3,53%;3,41%;0,01%;;;;;;;
AESB3;25;ROA;0,80%;0,79%;3,16%;;;;;;;
AESB3;26;ROIC;5,04%;3,82%;0,00%;;;;;;;
AESB3;27;GIRO ATIVOS;0,16;0,15;0,17;;;;;;;
AESB3;28;CAGR REC. 5;-%;-%;-%;;;;;;;
AESB3;29;CAGR LUCRO 5;-%;-%;-%;;;;;;;
AFLT3;0;D.Y;3,50%;2,55%;7,10%;7,33%;0,95%;3,25%;13,97%;14,17%;-%;7,77%
AFLT3;1;P/L;15,44;15,6;5,61;33,25;27,67;15,48;25,05;13,33;-;13,6
AFLT3;2;PEG RATIO;-0,21;-0,25;-;-;-;0,19;-2,02;1,02;-;-0,59
AFLT3;3;P/VP;1,81;2,24;2,26;3,32;3,26;1,79;6,98;2,5;-;2,66
AFLT3;4;EV/EBITDA;-;14,65;5,25;30,65;-;-;-;-;-;-
AFLT3;5;EV/EBIT;14,77;14,71;5,26;30,86;25,98;14,01;23,47;7,5;-;12,46
AFLT3;6;P/EBITDA;-;15,19;5,42;32,23;-;-;-;-;-;-
AFLT3;7;P/EBIT;15,15;15,26;5,42;32,45;28;15,29;24,75;11,62;-;14,18
AFLT3;8;VPA;4,15;4,13;3,92;2,97;3,4;3,1;0,71;1,21;1,24;1,22
AFLT3;9;P/ATIVO;1,51;1,94;2,03;2,99;3,1;1,7;5,72;2,17;-;2,43
AFLT3;10;LPA;0,49;0,59;1,58;0,3;0,4;0,36;0,2;0,23;0,2;0,24
AFLT3;11;P/SR;6,91;8,12;4,65;17,31;18,1;10,39;13,26;6,08;-;5,88
AFLT3;12;P/CAP. GIRO;15,51;12,17;11,09;12,92;9,82;7,05;6,19;2,93;-;3,49
AFLT3;13;P/ATIVO CIR. LIQ;-1,88;-2,52;-2,6;-4,07;-4,65;-2,28;-183,89;-10,17;-;-9,1
AFLT3;14;DÍV. LIQ/PL;-0,05;-0,08;-0,07;-0,16;-0,24;-0,15;-0,36;-0,89;-1,03;-0,32
AFLT3;15;DIV. LIQ/EBITDA;-;-0,55;-0,17;-1,58;-;-;-;-;-;-
AFLT3;16;DIV. LIQ/EBIT;-0,38;-0,55;-0,17;-1,59;-2,02;-1,28;-1,28;-4,12;-7,17;-1,72
AFLT3;17;PL/ATIVOS;0,84;0,87;0,9;0,9;0,95;0,95;0,82;0,87;0,88;0,91
AFLT3;18;PASSIVOS/ATIVOS;0,16;0,13;0,1;0,1;0,05;0,05;0,18;0,13;0,12;0,09
AFLT3;19;LIQ. CORRENTE;1,98;3,34;5,86;7,91;18,09;19,71;21,59;-;10,47;20,07
AFLT3;20;M.BRUTA;57,31%;61,82%;88,64%;64,85%;66,32%;70,23%;55,91%;54,79%;43,80%;49,18%
AFLT3;21;M.EBITDA;-%;53,42%;85,86%;53,72%;-%;-%;-%;-%;-%;-%
AFLT3;22;M.EBIT;45,58%;53,18%;85,80%;53,36%;64,63%;67,99%;53,57%;52,30%;40,92%;41,49%
AFLT3;23;M.LIQ;44,72%;52,03%;82,95%;52,07%;65,40%;67,14%;52,93%;45,57%;46,08%;43,25%
AFLT3;24;ROE;11,71%;14,38%;40,32%;9,98%;11,78%;11,55%;27,86%;18,75%;16,11%;19,55%
AFLT3;25;ROA;9,80%;12,47%;36,17%;9,00%;11,19%;10,97%;22,84%;16,31%;14,13%;17,85%
AFLT3;26;ROIC;10,57%;13,28%;39,86%;9,27%;10,61%;10,73%;21,49%;11,87%;10,25%;14,80%
AFLT3;27;GIRO ATIVOS;0,22;0,24;0,44;0,17;0,17;0,16;0,43;0,36;0,31;0,41
AFLT3;28;CAGR REC. 5;24,96%;24,96%;30,86%;5,56%;2,20%;-0,84%;-3,49%;-0,41%;-2,91%;-%
AFLT3;29;CAGR LUCRO 5;19,61%;24,53%;47,52%;8,17%;11,01%;3,07%;-6,69%;-7,56%;-7,86%;-%
AGRO3;0;D.Y;13,33%;17,54%;9,10%;2,84%;4,89%;4,88%;1,93%;5,29%;12,67%;-%
AGRO3;1;P/L;9,65;11,42;5,67;4,89;9,05;5,01;5,77;23,02;-;-
AGRO3;2;PEG RATIO;-0,22;-0,24;-;-;-;0,12;0,02;0,1;-;-
AGRO3;3;P/VP;1,13;1,5;1,2;1,38;1,15;1,01;1,05;0,96;-;-
AGRO3;4;EV/EBITDA;-;8,89;3,56;4,06;5,69;4,99;-;37,78;-;-
AGRO3;5;EV/EBIT;11,81;11,74;3,99;5,2;7,78;5,61;4,92;-3.030,84;-;-
AGRO3;6;P/EBITDA;-;8,42;3,81;3,08;4,82;4,23;-;42,35;-;-
AGRO3;7;P/EBIT;9,98;11,12;4,27;3,94;6,59;4,75;4,53;-3.397,96;-;-
AGRO3;8;VPA;21,4;20,04;23,95;18,06;16,58;15,52;11,92;11,54;-;-
AGRO3;9;P/ATIVO;0,71;0,91;0,81;0,76;0,71;0,69;0,79;0,77;-;-
AGRO3;10;LPA;2,5;2,62;5,08;5,11;2,1;3,11;2,17;0,48;-;-
AGRO3;11;P/SR;2,01;2,4;1,54;1,27;1,53;1,6;1,9;3,41;-;-
AGRO3;12;P/CAP. GIRO;3,45;4,82;2,46;6,41;4,31;4,09;11,34;4,82;-;-
AGRO3;13;P/ATIVO CIR. LIQ;-1,15;-1,47;-1,6;-1,11;-1,04;-1;-1,03;-1,11;-;-
AGRO3;14;DÍV. LIQ/PL;0,21;0,08;-0,09;0,44;0,22;0,21;0,09;-0,1;-0,32;0,02
AGRO3;15;DIV. LIQ/EBITDA;-;0,47;-0,25;0,98;0,87;0,76;-;-4,58;34,23;0,07
AGRO3;16;DIV. LIQ/EBIT;1,85;0,62;-0,29;1,26;1,2;0,86;0,38;367,12;8,25;0,08
AGRO3;17;PL/ATIVOS;0,63;0,66;0,64;0,55;0,65;0,64;0,76;0,8;0,74;0,7
AGRO3;18;PASSIVOS/ATIVOS;0,37;0,34;0,36;0,45;0,35;0,36;0,24;0,2;0,26;0,3
AGRO3;19;LIQ. CORRENTE;2,14;3,28;2,66;1,61;1,95;1,83;1,09;2,36;2,26;1,33
AGRO3;20;M.BRUTA;30,65%;30,76%;40,44%;40,27%;31,39%;42,53%;40,55%;25,99%;0,33%;54,48%
AGRO3;21;M.EBITDA;-%;28,47%;40,28%;41,30%;31,86%;37,80%;-%;8,06%;-5,16%;48,10%
AGRO3;22;M.EBIT;20,17%;21,55%;35,97%;32,29%;23,30%;33,65%;41,87%;-0,10%;-21,41%;42,16%
AGRO3;23;M.LIQ;20,86%;20,98%;27,11%;26,02%;16,95%;31,88%;32,90%;14,82%;5,91%;48,27%
AGRO3;24;ROE;11,68%;12,12%;23,83%;28,32%;13,58%;23,43%;18,93%;3,97%;1,06%;30,97%
AGRO3;25;ROA;7,31%;8,03%;15,17%;15,54%;8,81%;15,01%;14,30%;3,19%;0,78%;21,83%
AGRO3;26;ROIC;7,59%;9,00%;18,82%;20,95%;12,66%;15,91%;17,30%;-0,78%;-3,52%;21,05%
AGRO3;27;GIRO ATIVOS;0,35;0,38;0,56;0,6;0,52;0,47;0,43;0,22;0,13;0,45
AGRO3;28;CAGR REC. 5;27,22%;27,22%;59,78%;55,29%;13,49%;29,55%;9,46%;3,37%;5,93%;108,05%
AGRO3;29;CAGR LUCRO 5;15,22%;16,28%;80,28%;108,88%;-7,94%;-%;34,48%;-%;-11,53%;-%
AGXY3;0;D.Y;1,03%;1,70%;-%;-%;;;;;;
AGXY3;1;P/L;-3,36;60,25;15,4;-;;;;;;
AGXY3;2;PEG RATIO;0;-0,79;-;-;;;;;;
AGXY3;3;P/VP;0,63;1,13;1,25;-;;;;;;
AGXY3;4;EV/EBITDA;2,86;4,03;5,93;-;;;;;;
AGXY3;5;EV/EBIT;3,7;4,86;7,56;-;;;;;;
AGXY3;6;P/EBITDA;1,18;2,65;4,4;-;;;;;;
AGXY3;7;P/EBIT;1,52;3,19;5,61;-;;;;;;
AGXY3;8;VPA;6,18;8,69;8,54;-;;;;;;
AGXY3;9;P/ATIVO;0,08;0,17;0,27;-;;;;;;
AGXY3;10;LPA;-1,15;0,16;0,69;-;;;;;;
AGXY3;11;P/SR;0,06;0,15;0,28;-;;;;;;
AGXY3;12;P/CAP. GIRO;1,35;1,66;3,35;-;;;;;;
AGXY3;13;P/ATIVO CIR. LIQ;-0,36;-0,99;-1,33;-;;;;;;
AGXY3;14;DÍV. LIQ/PL;0,88;0,59;0,43;0,51;;;;;;
AGXY3;15;DIV. LIQ/EBITDA;1,66;1,38;1,53;3,97;;;;;;
AGXY3;16;DIV. LIQ/EBIT;2,15;1,67;1,95;5,34;;;;;;
AGXY3;17;PL/ATIVOS;0,12;0,15;0,22;0,24;;;;;;
AGXY3;18;PASSIVOS/ATIVOS;0,88;0,85;0,78;0,76;;;;;;
AGXY3;19;LIQ. CORRENTE;1,08;1,14;1,11;1,03;;;;;;
AGXY3;20;M.BRUTA;12,38%;12,52%;13,71%;12,48%;;;;;;
AGXY3;21;M.EBITDA;5,05%;5,49%;6,29%;4,91%;;;;;;
AGXY3;22;M.EBIT;3,90%;4,55%;4,94%;3,65%;;;;;;
AGXY3;23;M.LIQ;-1,77%;0,24%;1,80%;3,10%;;;;;;
AGXY3;24;ROE;-18,62%;1,88%;8,11%;8,02%;;;;;;
AGXY3;25;ROA;-2,24%;0,28%;1,75%;1,91%;;;;;;
AGXY3;26;ROIC;13,29%;12,79%;10,66%;0,65%;;;;;;
AGXY3;27;GIRO ATIVOS;1,27;1,17;0,97;0,62;;;;;;
AGXY3;28;CAGR REC. 5;-%;-%;-%;-%;;;;;;
AGXY3;29;CAGR LUCRO 5;-%;-%;-%;-%;;;;;;
AHEB3;0;D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%;-%
AHEB3;1;P/L;1,41;2,64;-3,15;-8,15;-1,92;-7,06;-;-;-;-
